"","To.OriginalRow","From.OriginalRow","km","To.xcord","To.ycord","From.xcord","From.ycord","BetaSim","Sorenson","MNTD"
"91",1,5988,7711.39669591804,-2386282.1083801,8710047.84807365,12013717.8916199,3502047.84807365,0.600381455195089,1,4.31586108652829
"92",1,6011,8905.90972556606,-2386282.1083801,8710047.84807365,-1586282.1083801,3378047.84807365,0.500055374919535,1,3.86716139609834
"93",1,6012,13158.5810047497,-2386282.1083801,8710047.84807365,-1486282.1083801,3378047.84807365,0.500055374919535,1,3.99575509508468
"94",1,6288,5179.28479003964,-2386282.1083801,8710047.84807365,-10386282.1083801,3130047.84807365,0.551644020028799,1,4.28275191108852
"95",1,6837,4452.95486274695,-2386282.1083801,8710047.84807365,11113717.8916199,2758047.84807365,0.180796303057171,1,4.04742112635078
"96",1,6842,7573.0338887615,-2386282.1083801,8710047.84807365,-10186282.1083801,2634047.84807365,0.62125533480748,1,Inf
"97",1,7480,16863.4420455441,-2386282.1083801,8710047.84807365,-5986282.1083801,2014047.84807365,0.600381455195089,1,4.40415805216977
"98",1,7691,9688.82498314097,-2386282.1083801,8710047.84807365,-5986282.1083801,1766047.84807365,0.637820364060153,1,3.8616962378576
"99",1,7861,13480.5797911565,-2386282.1083801,8710047.84807365,9113717.8916199,1642047.84807365,0.600381455195089,1,3.29976098457616
"100",1,7950,10335.8061776178,-2386282.1083801,8710047.84807365,5313717.8916199,1518047.84807365,0.637150354469047,1,3.83799673101431
"101",1,7958,8661.29557369869,-2386282.1083801,8710047.84807365,9213717.8916199,1518047.84807365,0.456114111989385,1,4.48484944065487
"102",1,8061,6071.51063624542,-2386282.1083801,8710047.84807365,9213717.8916199,1394047.84807365,0.600381455195089,1,4.48484944065487
"103",1,8277,9260.8949201077,-2386282.1083801,8710047.84807365,12313717.8916199,1146047.84807365,0.600381455195089,1,4.6459472861326
"104",1,8378,11126.1571526212,-2386282.1083801,8710047.84807365,10413717.8916199,1022047.84807365,0.600381455195089,1,3.19161050614709
"105",1,8476,11407.0716916704,-2386282.1083801,8710047.84807365,9313717.8916199,898047.84807365,0.600381455195089,1,4.08466762709927
"106",1,8586,12129.5470426854,-2386282.1083801,8710047.84807365,12213717.8916199,774047.84807365,0.600381455195089,1,3.98445766635208
"107",1,8684,5079.58874357155,-2386282.1083801,8710047.84807365,12013717.8916199,650047.84807365,0.492502832576115,1,3.61547894347519
"108",1,8766,8492.62147888125,-2386282.1083801,8710047.84807365,10013717.8916199,526047.84807365,0.600381455195089,1,4.0767031812437
"109",1,9131,13158.5810047377,-2386282.1083801,8710047.84807365,13013717.8916199,30047.8480736502,0.623358963612281,1,4.48858629822641
"110",1,9220,11407.0716916945,-2386282.1083801,8710047.84807365,12113717.8916199,-93952.1519263498,0.648439693065415,1,4.32641004846777
"111",1,9223,13480.5797911089,-2386282.1083801,8710047.84807365,12713717.8916199,-93952.1519263498,0.595949012677471,1,3.99491298612266
"112",1,9320,9688.82498304165,-2386282.1083801,8710047.84807365,12313717.8916199,-217952.15192635,0.600381455195089,1,3.71692448655593
"113",1,9444,12129.5470427279,-2386282.1083801,8710047.84807365,15013717.8916199,-341952.15192635,0.627854049148612,1,4.33001075521193
"114",1,9552,5079.58874359243,-2386282.1083801,8710047.84807365,14513717.8916199,-465952.15192635,0.600381455195089,1,3.83872992531924
"115",1,9632,15943.0382222763,-2386282.1083801,8710047.84807365,5613717.8916199,-589952.15192635,0.589973663953293,1,3.85282392970828
"116",1,9732,15283.3997396848,-2386282.1083801,8710047.84807365,10213717.8916199,-713952.15192635,0.537993253351283,1,Inf
"117",1,9760,8905.90972555741,-2386282.1083801,8710047.84807365,15413717.8916199,-713952.15192635,0.600381455195089,1,3.83856759268618
"118",1,9959,12997.7793709676,-2386282.1083801,8710047.84807365,15613717.8916199,-961952.15192635,0.581500378252375,1,4.41769860085569
"119",1,9961,6748.87322951602,-2386282.1083801,8710047.84807365,15813717.8916199,-961952.15192635,0.648439693065415,1,4.43870031852105
