"","V1","rich"
"1143",6198,11
"1144",6205,11
"1145",6331,11
"1146",6333,11
"1147",6347,11
"1148",6369,11
"1149",6376,11
"1150",6449,11
"1151",6471,11
"1152",6598,11
"1153",6635,11
"1154",6713,11
"1155",6715,11
"1156",6717,11
"1157",6723,11
"1158",6775,11
"1159",6777,11
"1160",6778,11
"1161",6779,11
"1162",6867,11
"1163",6885,11
"1164",6888,11
"1165",6923,11
"1166",6932,11
"1167",6937,11
"1168",7002,11
"1169",7016,11
"1170",7024,11
"1171",7046,11
"1172",7064,11
"1173",7152,11
"1174",7170,11
"1175",7189,11
"1176",7190,11
"1177",7261,11
"1178",7281,11
"1179",7282,11
"1180",7311,11
"1181",7400,11
"1182",7515,11
"1183",7516,11
"1184",7517,11
"1185",7521,11
"1186",7556,11
"1187",7693,11
"1188",7873,11
"1189",9130,11
"1190",9229,11
"1191",9731,11
"1192",9947,11
"1193",10046,11
"1194",10788,11
"1195",10850,11
"1196",10904,11
"1197",11213,11
"1198",11431,11
"1199",11551,11
"1200",11552,11
"1201",11627,11
"1202",11665,11
"1203",11718,11
"1204",11820,11
"1205",11821,11
"1206",11862,11
"1207",11889,11
"1208",11953,11
"1209",12291,11
"1210",12294,11
"1211",220,12
"1212",221,12
"1213",227,12
"1214",228,12
"1215",286,12
"1216",289,12
"1217",320,12
"1218",321,12
"1219",322,12
"1220",372,12
"1221",373,12
"1222",377,12
"1223",461,12
"1224",462,12
"1225",463,12
"1226",464,12
"1227",565,12
"1228",567,12
"1229",568,12
"1230",569,12
"1231",611,12
"1232",612,12
"1233",613,12
"1234",614,12
"1235",615,12
"1236",616,12
"1237",725,12
"1238",728,12
"1239",729,12
"1240",730,12
"1241",731,12
"1242",779,12
"1243",780,12
"1244",781,12
"1245",782,12
"1246",783,12
"1247",784,12
"1248",904,12
"1249",905,12
"1250",951,12
"1251",952,12
"1252",953,12
"1253",954,12
"1254",955,12
"1255",1124,12
"1256",1125,12
"1257",1126,12
"1258",1127,12
"1259",1318,12
"1260",1475,12
"1261",1476,12
"1262",1477,12
"1263",1634,12
"1264",2254,12
"1265",2588,12
"1266",2590,12
"1267",3781,12
"1268",4152,12
"1269",4305,12
"1270",4307,12
"1271",4308,12
"1272",4309,12
"1273",4455,12
"1274",4458,12
"1275",4459,12
"1276",4486,12
"1277",4601,12
"1278",4602,12
"1279",4603,12
"1280",4604,12
"1281",4633,12
"1282",4755,12
"1283",4783,12
"1284",4784,12
"1285",4934,12
"1286",4935,12
"1287",4947,12
"1288",5223,12
"1289",5228,12
"1290",5304,12
"1291",5306,12
"1292",5307,12
"1293",5346,12
"1294",5357,12
"1295",5371,12
"1296",5372,12
"1297",5378,12
"1298",5435,12
"1299",5457,12
"1300",5497,12
"1301",5500,12
"1302",5527,12
"1303",5528,12
"1304",5649,12
"1305",5650,12
"1306",5654,12
"1307",5730,12
"1308",5736,12
"1309",5739,12
"1310",5746,12
"1311",5764,12
"1312",5767,12
"1313",5807,12
"1314",5809,12
"1315",5812,12
"1316",5872,12
"1317",5873,12
"1318",5877,12
"1319",5880,12
"1320",5881,12
"1321",5888,12
"1322",5889,12
"1323",5891,12
"1324",5914,12
"1325",5917,12
"1326",5918,12
"1327",5919,12
"1328",5945,12
"1329",6029,12
"1330",6030,12
"1331",6038,12
"1332",6064,12
"1333",6065,12
"1334",6066,12
"1335",6138,12
"1336",6164,12
"1337",6180,12
"1338",6213,12
"1339",6214,12
"1340",6223,12
"1341",6309,12
"1342",6329,12
"1343",6332,12
"1344",6352,12
"1345",6357,12
"1346",6358,12
"1347",6359,12
"1348",6385,12
"1349",6393,12
"1350",6500,12
"1351",6501,12
"1352",6508,12
"1353",6526,12
"1354",6625,12
"1355",6629,12
"1356",6636,12
"1357",6716,12
"1358",6721,12
"1359",6780,12
"1360",6781,12
"1361",6782,12
"1362",6791,12
"1363",6812,12
"1364",6860,12
"1365",6912,12
"1366",6922,12
"1367",7000,12
"1368",7023,12
"1369",7025,12
"1370",7044,12
"1371",7045,12
"1372",7065,12
"1373",7084,12
"1374",7126,12
"1375",7128,12
"1376",7141,12
"1377",7147,12
"1378",7151,12
"1379",7182,12
"1380",7208,12
"1381",7251,12
"1382",7252,12
"1383",7259,12
"1384",7260,12
"1385",7269,12
"1386",7272,12
"1387",7273,12
"1388",7280,12
"1389",7316,12
"1390",7317,12
"1391",7414,12
"1392",7432,12
"1393",7514,12
"1394",7518,12
"1395",7520,12
"1396",7522,12
"1397",7525,12
"1398",7591,12
"1399",7656,12
"1400",7757,12
"1401",7764,12
"1402",7956,12
"1403",8059,12
