"IUCN.binomial" "AllGeogRange" "Body.mass.g" "LitSz" "AdultHeadBodyLen.mm" "GestLen.d" "LitPerYear" "SocGrpSz" "WeanAge.d" "SMA.d" "NeonateBodyMass.g" "MaxLifepsan.m" "PopDen.n.km2" "brain.mass.g" "IBI.d"
"Acomys_percivali" 29003.5656584716 21.99 2.23132361574766 93.095405637579 38.1 1.78492367350343 1.00695555005672 72.7749327895341 291.43544908983 0.821114752548335 45.663511739117 113.678469190009 0.628063909046092 166.474659824371
"Acomys_russatus" 166090 42.35 2.5 111.08 33.9 3.93425521917276 1.2874712900321 22.7424740635837 91 7 60 3487.07 1.00463284560503 38
"Acomys_seurati" 6878250 11.4525463375487 0.999058665157293 51.5546419066638 117.359854118327 1.00406288229992 560.782826377533 60.3779778568579 441.512562237545 2.78334975351725 185.560034573073 237.645044431352 0.288411568460819 323.537193138466
"Acomys_spinosissimus" 1839016 26.5 2.71 89.4906443152532 27.7322659456382 1.83376482269183 1.03526492384138 40.6601996128371 147.944271654424 1.94640668550675 46.6497337236182 204.07 0.679376587264962 135.919752731186
"Acomys_subspinosus" 88249.9999999999 21.92 4.43337303072207 98.6173990978311 22.67321809881 5.08203541580556 1.59676726573181 18.8491367437528 42.2415418895859 2.01024186691974 45.6376888429733 3543.88 0.620333900796547 26.4366615543844
"Acomys_wilsoni" 1648348 18.5 2.29 79.76 38.1 7.9 1.57415365818816 24.6895445083151 71.5018634953925 3.49 67.2 603.57231499214 0.585496691407362 40
"Aconaemys_fuscus" 260700 129.95 3.23 171.411120728017 33.2026201156744 1.0063058855007 1.03526492384138 78.5779396371845 351.670412937655 5.20023742116514 61.5942946646558 77.9526856555054 2.41684859012935 356.127882347223
"Aconaemys_porteri" 30176 60.33739919356 3.5909175193035 129.484559684489 31.4664846980039 1.02636855418779 1 68.7951330117631 370.680534740004 2.03301639432929 60.4264984056673 69.6110050574575 1.36324855055751 348.165962330311
"Aconaemys_sagei" 10249 96.49 2.15928614722014 144.19494690664 46.8235500101408 1.08262527038832 2.69104925756065 34.7628739160608 185.204111105251 5.70239465960556 80.7707995825026 1776.75071102503 1.19799706609821 235.784789436959
"Acrobates_pygmaeus" 1512950 13.84 2.8 83.1440089895552 43.5619290516441 2 14 97.5 272.11 0.01 86.4 899.99 0.489782930286042 183
"Addax_nasomaculatus" 1627700 96077.36 1 1670.30324186519 262.74 0.99 12 195 720 5633.76 308.04 1.48696814542001 201.5 360
"Aegialomys_xanthaeolus" 218519 79.79 3.17855281935798 140.772800685892 33.0432524937423 1.00695555005672 1.02101212570719 61.252026776098 336.296520746064 3.88985438099135 59.6853979047134 157.934514714098 1.58144890128478 335.905682898235
"Aepeomys_lugens" 129954 37 3.16748352966904 109.532113386222 32.0514710366443 1.1867315130317 1.06424997920251 32.3382022835793 194.909188641767 2.14972135179851 40.620762359656 924.47069466292 0.775401888471952 229.994735636111
"Aepeomys_reigi" 19121 87.104827718654 2.00778674198022 145.807915665882 47.6846711396875 1.00508314575966 2.83462390640231 37.1527350287679 231.184220684603 6.14543055381709 86.2499299058845 1054.55450884556 1.2115997339001 261.084683080034
"Aepyceros_melampus" 3716116 52591.69 0.98 1420 196.74 0.95 40 150 498.97 5238.4 213 13.36 171.359375 365
"Aepyprymnus_rufescens" 870770 2810.31 1.03 447.908119882235 22.8 3 1 163.07 345.41 1.65971298528072 96 40 8.95661082429356 117
"Aeretes_melanopterus" 2249361 43.8482183822327 1.90136869370041 108.078535714108 45.5774311991501 1.94817976748091 1.07853194327373 45.0356269746926 144.235571871938 3.56330683434342 48.7634791838929 203.014469817841 0.995753429213094 121.517944304397
"Aeromys_tephromelas" 120883 1187 1.07 378.86 91.2028315777165 1.05149761433747 1.37248024158124 112.268627160841 629.955981299161 34.4191371971207 179.233096433575 29.7236390953044 10.34 355.976805717008
"Aeromys_thomasi" 94760 1430.19 1.11865776026698 340.5 94.581769371902 1.71149611378493 1.41447166615105 114.227447746592 559.158834692183 56.1071890323038 164.97267995221 47.1851410293903 11.122375448879 206.486350984082
"Aethalops_aequalis" 10865 94.0890374750816 2.11868665143122 146.454857688805 46.4303769801085 1.01345596111915 2.80553141973329 35.0956571458706 214.998309448476 5.74746892264929 84.0783729906084 1620.05811979963 1.22079174241801 254.55273167278
"Aethalops_alecto" 10865 15 0.99 64.6452095168541 116.066558478108 1.02757815444005 92.1715399831308 56.916608336166 390.25346643903 2.3921905011393 139.163408086184 310.716888824937 0.432866088493476 284.081190383154
