	IUCN.binomial	PD.Ref	Marine.Ref	M.M.P	IUCN.Order	ORD	Order	IUCN.Family	FAM	Family	IUCN.Genus	IUCN.Species	Common.names	Listed	Red.List.status	B.species	Population.trend	Island	TrophicDetail	TrophicDetail.Reduced	TrophicD	TrophicP	DietBreadth	TerrestrialityD	TerrestrialityP	HabMode	HabitatBreadth	ActivCycle	BodyMass.g	logBodyMass	AdultForearmLen.mm	logAdultForearmLen	AdultHeadBodyLen.mm	logAdultHeadBodyLen	AllGeogRange	logAllGeogRange	Current.GR	HomeRange.km2	logHomeRange	HomeRange.Indiv.km2	logHomeRange.Indiv.km2	PopDen.n.km2	logPopDen	SocGrpSz	logSocGrpSz	social	PopGrpSz	logPopGrpSz	SMA.d	logSMA	AgeatFirstBirth.d	logAgeFirstBirth	IBI.d	logIBI	LitSz	logLitSz	LitPerYear	logLitPerYear	TeatNo	logTeatNo	GestLen.d	logGestLen	NeonateBodyMass.g	logNeonateBodyMass	NeonateHeadBodyLen.mm	logNeonateHeadBodyLen.mm	AgeEyeOpen.d	WeanAge.d	logWeanAge	WeanBodyMass.g	logWeanBodyMass	logWeaningHeadBodyLen.mm	DispersAge.d	logDispersAge.d	MaxLifepsan.m	logMaxLifespan.m	P	BasalMetRate.mLO2hr	logBasalMetRate	BMR.lO2.hr	kcal.day	BMR.watts	logBMR.watts	BasalMetRateMass.g	brain.mass.g	logbrain.mass.g	GR.Area.km2	GR.MaxLat.dd	GR.MinLat.dd	GR.MidRangeLat.dd	GR.MaxLong.dd	GR.MinLong.dd	GR.MidRangeLong.dd	HuPopDen.Min.n.km2	HuPopDen.Mean.n.km2	HuPopDen.5p.n.km2	HuPopDen.Change	Precip.Mean.mm	logMeanPrecip	Temp.Mean.01degC	AET.Mean.mm	logAET	PET.Mean.mm	logPET	Freshwater	Coastal	Oceanic	births.on.land	All.Habitat	threatened.by.fishing.bycatch.	threatened.by.direct.hunting	threatened.by.pollution.	threatened.by.invasives.	threatened.by.development.dams.human.intrusion.	threatened.by.climate.change	All.threats	MedianNPPgC.m.2r	logMedianNPP	MinNPPgC.m.2r	MaxNPPgC.m.2r	MeanNPPgC.m.2r	StdNPP	MedianNPPgC.m.2r.1	Min.HII	Max.HII	Mean.HII	StdHII	MedianHII	logLSPop	logNPP	logDHI_CV	logMinimumFpar	logTotalAnnualFpar	Velocity	logVelocity	logLights2006	logGlob	GPP	LSPop	NPP	DHI_CV	MinimumFpar	TotalAnnualFpar	Lights2006	Glob
3612	Procolobus_kirkii	2768	NA	Placental	PRIMATES	PRI	Primates	CERCOPITHECIDAE	CER	Cercopithecidae	Procolobus	kirkii	Zanzibar_Red_Colobus_Kirk.s_Red_Colobus	1	EN	B	decreasing	I	NA	NA	her	1	4	T	2	NA	1	D	7158.29	3.854809289	NA	NA	574.45	2.759252234	22262341	7.347570831	NA	0.42	-0.37675071	NA	NA	NA	NA	33.6	1.544068044	Y	35	1.544068044	NA	NA	NA	NA	NA	NA	1.01	0.004321374	NA	NA	NA	NA	165	2.217483944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1573.03	-5.71	-6.47	-6.09	39.57	39.18	39.38	143	257.65	143	0.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.144431941	4.682850818	-0.805638832	1.363678204	2.865007586	1.1267159	0.051814423	-0.495215194	2.322219295	27073.55858	139.45431	14393.96224	0.156444813	23.10352271	732.8373333	0.319731044	NA
4034	Rungwecebus_kipunji	5803	NA	Placental	PRIMATES	PRI	Primates	CERCOPITHECIDAE	CER	Cercopithecidae	Rungwecebus	kipunji	Kipunji	1	CR	B	decreasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.713493663	4.707841051	-0.919761597	1.186987609	2.691351379	NA	NA	NA	2.322219295	19217.88638	4.352315394	5139.086955	0.110220405	21.66647591	684.3781233	0	NA
4194	Simias_concolor	2823	NA	Placental	PRIMATES	PRI	Primates	CERCOPITHECIDAE	CER	Cercopithecidae	Simias	concolor	Pig_tailed_Langur_Pig_tailed_Snub_nosed_Monkey	1	CR	NA	decreasing	I	NA	NA	her	1	3	T	2	NA	2	D	7393.9	3.868873573	NA	NA	499.99	2.698961318	2208	3.343999069	NA	0.1	-1	0.13	-0.886056648	10.9	1.037426498	2.75	0.477121255	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02	0.008600172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.21724	1.786873745	6044.85	-0.91	-3.34	-2.13	100.47	98.58	99.52	43	55.33	43	0.11	340	2.531478917	259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	172.82	2.237594001	318.2	1940.7	1669.06	318.2	1728.2	40	220	132.837	20.8567	140	1.175446376	4.573089732	-0.868938077	1.476755974	3.008886989	NA	NA	NA	2.322219295	25827.94975	14.97774306	8955.474707	0.135226536	29.9747779	1020.673853	0	NA
4584	Tarsius_pelengensis	2825	NA	Placental	PRIMATES	PRI	Primates	TARSIIDAE	TAR	Tarsiidae	Tarsius	pelengensis	Peleng_Tarsier_Peleng_Island_Tarsier	1	EN	B	decreasing	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	165	2.217483944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.02	0.008600172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2364.95	-1.15	-1.64	-1.4	123.55	122.78	123.17	31	31	31	0.1	245	2.389166084	240.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.697917274	4.529919762	-0.899349673	1.49250686	3.007375458	NA	NA	NA	2.322219295	20731.89829	49.87894671	5898.92787	0.126081198	31.08184999	1017.127643	0	NA
32	Acomys_minous	3332	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Acomys	minous	CRETAN_SPINY_MOUSE_CRETE_SPINY_MOUSE_Cretan_Spiny_Mouse_Crete_Spiny_Mouse_Spiny_Mouse	NA	DD	NA	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	62.5	1.795880017	NA	NA	NA	NA	8187	3.91312479	"8,345"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8190.7	35.69	34.92	35.31	26.31	23.52	24.91	0	48.69	0	0.02	51.8	1.71432976	163.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.884868814	4.506694663	-0.583687486	1.017696029	2.615111505	0.098067578	-1.00847455	0.766132375	2.322219295	14034.92249	76.71297298	9035.92498	0.260802959	10.41588146	412.2033389	5.836229677	NA
228	Apodemus_epimelas	3439	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Apodemus	epimelas	WESTERN_BROAD_TOOTHED_FIELD_MOUSE_Western_Broad_toothed_Field_Mouse	0	LC	NA	stable	C	Frug.Ginsect	Frug.Insect	omni	2	NA	T	NA	ter	NA	NA	45.6	1.658964843	NA	NA	NA	NA	977139	5.989956347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	212820.59	45.35	36.4	40.87	25.71	14.79	20.25	22	102.67	31	-0.01	75.11	1.875697762	98.18	556.81	2.745707026	883.72	2.946314684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.772234338	4.179588794	-0.577768456	1.28996085	2.921228433	0.303343252	-0.518065662	0.930241377	2.322219295	11295.21706	59.18809166	6369.02144	0.264381793	19.49668836	834.1198048	8.516112242	NA
255	Archboldomys_luzonensis	3463	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Archboldomys	luzonensis	Isarog_Shrew_Mouse_Mt_Isarog_Shrew_mouse	1	VU	NA	stable	I	NA	NA	car	3	1	T	NA	NA	NA	D	35.34	1.548266545	NA	NA	70	1.84509804	1089	3.03702788	NA	NA	NA	NA	NA	575.19	2.759811327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	328.3	13.74	13.55	13.65	123.47	123.28	123.38	323	323	323	0.09	331	2.519827994	252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	93.4	1.970346876	112.8	1079.9	889.747	112.8	934	140	380	240.665	41.8065	250	2.215718896	4.714483743	-0.79458379	1.102715965	2.656405736	NA	NA	-0.310155381	2.322219295	18865.71889	292.7922419	6402.286043	0.11807502	15.95470474	502.1714478	0.621583598	NA
354	Batomys_russatus	3481	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Batomys	russatus	Russet_Batomys_Dinagat_Hairy_tailed_Rat	1	EN	B	decreasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1054	3.022840611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.093939981	4.744928032	-0.884153699	1.235798511	2.771403863	NA	NA	-2.317475871	2.322219295	22968.10818	124.1480724	8515.442498	0.130570871	17.21069907	590.7501799	0.0048142	NA
483	Callosciurus_melanogaster	3531	NA	Placental	RODENTIA	ROD	Rodentia	SCIURIDAE	SCI	Sciuridae	Callosciurus	melanogaster	Mentawai_Squirrel	1	VU	B	decreasing	I	NA	NA	omni	2	4	T	2	NA	2	D	296	2.471291711	NA	NA	213	2.328379603	6122	3.786893325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5140.87	-0.91	-2.85	-1.88	100.22	98.58	99.4	43	56.87	43	0.08	340	2.531478917	259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.177789435	4.564064604	-0.865152944	1.490611966	3.023755241	NA	NA	NA	2.322219295	25775.03105	15.05876775	8926.130598	0.136410266	30.94653049	1056.222077	0	NA
566	Cavia_magna	2953	NA	Placental	RODENTIA	ROD	Rodentia	CAVIIDAE	CAV	Caviidae	Cavia	magna	Greater_Guinea_Pig	0	LC	NA	decreasing	C	Browse.Frug	Browse	her	1	NA	T	1	ter	1	NA	459.99	2.66274839	NA	NA	NA	NA	197020	5.294510315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0.698970004	2	0.301029996	NA	NA	NA	NA	NA	NA	NA	20.88	1.319730494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178490.87	-25.86	-34.97	-30.42	-48.47	-55.45	-51.96	3	53.58	5	0.06	119.18	2.076203381	166.22	1050.43	3.021367117	1211.45	3.083305494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100.3	2.001300933	65.9	2229.9	1062.95	65.9	1003	0	640	179.352	71.1374	170	1.957070098	4.466840165	-0.843232094	1.529832205	3.034495061	0.904233937	-0.043719197	0.761924074	2.322219295	20461.8866	90.58788049	12313.38755	0.143472249	33.87132651	1082.667402	5.779949905	NA
697	Chiropodomys_karlkoopmani	3591	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Chiropodomys	karlkoopmani	Koopman.s_Pencil_tailed_Tree_Mouse_Koopman.s_Pencil_tailed_Tree_Mouse	1	EN	B	decreasing	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	29.1	1.463892989	NA	NA	NA	NA	6122	3.786893325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4520.24	-0.91	-2.85	-1.88	100.22	98.58	99.4	43	48.71	43	0.1	340	2.531478917	259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.800382922	4.492627227	-0.877998326	1.565291433	3.098553882	NA	NA	NA	2.322219295	25934.7707	6.315139111	9017.045795	0.132434664	36.75288474	1254.7404	0	NA
781	Crateromys_australis	3612	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Crateromys	australis	Dinagat_Crateromys_Dinagat_Bushy_tailed_Cloud_Rat_Dinagat_Hairy_tailed_Cloud_Rat_Dinagat_Island_Cloud_Rat	1	CR	B	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	445	2.648360011	NA	NA	265	2.423245874	1054	3.022840611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	832.19	10.47	9.81	10.14	125.7	125.48	125.59	92	144.02	92	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.093939981	4.744928032	-0.884153699	1.235798511	2.771403863	NA	NA	-2.317475871	2.322219295	22968.10818	124.1480724	8515.442498	0.130570871	17.21069907	590.7501799	0.0048142	NA
947	Crunomys_celebensis	3638	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Crunomys	celebensis	Sulawesi_Shrew_Mouse_Celebes_Shrew_Rat	NA	DD	NA	decreasing	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	55	1.740362689	NA	NA	NA	NA	1088	3.036628895	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	525.31	-1.2	-1.43	-1.32	120.2	119.96	120.08	41	46.5	41	0.11	205	2.311753861	181.5	1799.5	3.255151851	2005	3.302114377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.661555547	4.550272093	-0.558201108	0.988090048	2.571900962	0.494776176	-0.30559122	0.047781532	2.322219295	7497.929254	185.2015053	4479.932079	0.271730605	10.39691762	394.1404863	0.777175843	NA
1004	Ctenomys_flamarioni	3666	NA	Placental	RODENTIA	ROD	Rodentia	CTENOMYIDAE	CTN	Ctenomyidae	Ctenomys	flamarioni	Tuco_tuco_Of_The_Dunes	1	EN	B	decreasing	NA	NA	NA	her	1	3	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.682495518	4.546148795	-0.764582512	1.299870061	2.82288299	1.279346061	0.106988036	0.169300575	2.322219295	16806.53063	48.13882859	10375.02093	0.171956061	19.94665432	665.0939388	1.476728224	NA
1020	Ctenomys_pearsoni	3687	NA	Placental	RODENTIA	ROD	Rodentia	CTENOMYIDAE	CTN	Ctenomyidae	Ctenomys	pearsoni	Pearson.s_Tuco_tuco	0	NT	NA	decreasing	C	Browse.Frug	Browse	her	1	3	T	1	fos	1	NA	212	2.326335861	NA	NA	NA	NA	32062	4.50599061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46304.08	-33.01	-34.97	-33.99	-53.41	-58.43	-55.92	3	45.05	7	0.06	84.6	1.927370363	159.25	916.64	2.962198805	1101.93	3.042154007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	88.64	1.947629747	65.3	2229.9	968.839	65.3	886.4	40	600	223.141	89.0532	220	2.227799621	4.516096994	-0.78725583	1.358760279	2.885582329	0.725027763	-0.139645363	1.072199309	2.322219295	16131.08669	168.9661161	10420.19284	0.163209025	22.84337553	768.3911048	11.8086244	NA
1153	Dicrostonyx_unalascensis	3752	NA	Placental	RODENTIA	ROD	Rodentia	CRICETIDAE	CRI	Cricetidae	Dicrostonyx	unalascensis	Umnak_Island_Collared_Lemming_Unalaska_Collared_Lemming	NA	DD	NA	unknown	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4133	3.616265405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	1.301029996	2.79	0.445604203	NA	NA	NA	NA	21	1.322219295	5.02	0.700703717	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4501.73	54.01	52.81	53.41	-166.2	-169.11	-167.66	0	0.07	0	-0.92	93.02	1.968576335	24.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.88087906	4.629616712	-0.302343884	0.206648918	2.017139736	0.077636	-1.109936849	-0.075532842	2.322219295	4614.340158	0.131559114	2903.989937	0.498489616	1.609344122	104.0254819	0.840363456	NA
1167	Diplothrix_legata	3759	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Diplothrix	legata	Ryukyus_Islands_Tree_Rat_Ryukyu_Long_tailed_Giant_Rat_Ryukyu_Rat	1	EN	B	decreasing	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1106	3.043755127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2170.25	28.51	26.07	27.29	129.72	127.63	128.68	365	365	365	0.04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.606055641	4.692958876	-0.774527589	0.756189416	2.357948951	NA	NA	-0.34322124	2.322219295	22887.91126	40.36971103	9734.506133	0.168063116	5.704130019	228.0074048	0.453710427	NA
1587	Grammomys_caniceps	3927	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Grammomys	caniceps	Gray_headed_Thicket_Rat_Grey_headed_Thicket_Rat	NA	DD	NA	unknown	C	NA	NA	her	1	NA	T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94080	4.973497309	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1893.85	2.38	1.9	2.14	44.95	44.46	44.71	17	63.67	17	0.05	46.66	1.668944734	268.33	548.66	2.739303299	1729.66	3.237960742	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.846939202	4.186653263	-0.600499202	1.336616117	2.927847363	1.408826017	0.148857363	-1.279347585	2.322219295	10293.9164	70.29739017	4627.511973	0.250900079	21.70781527	846.9296994	0.052559644	NA
1615	Habromys_delicatulus	3957	NA	Placental	RODENTIA	ROD	Rodentia	CRICETIDAE	CRI	Cricetidae	Habromys	delicatulus	Delicate_Deer_Mouse	1	CR	B	decreasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	230	2.361727836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.606911265	4.702227512	-0.413987991	0.76334099	2.499310429	NA	NA	0.129239709	2.322219295	14405.86941	41.95881141	7597.423113	0.390977866	6.652549121	365.5917096	1.636847937	NA
1619	Habromys_schmidlyi	5721	NA	Placental	RODENTIA	ROD	Rodentia	CRICETIDAE	CRI	Cricetidae	Habromys	schmidlyi	Schmidly.s_Deer_Mouse	1	CR	B	decreasing	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	154	2.187520721	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.39314921	4.670861919	-0.737883498	0.748003829	2.354389335	0.299370161	-0.523791489	0.965353363	2.322219295	19338.98633	23.57244682	10491.43848	0.176969811	3.545930114	142.7553128	9.06860446	NA
1622	Haeromys_minahassae	3965	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Haeromys	minahassae	Lowland_Sulawesi_Haeromys_Minahassa_Ranee_Mouse	1	VU	NA	decreasing	I	NA	NA	NA	NA	NA	T	NA	NA	NA	NA	14.7	1.167317335	NA	NA	NA	NA	1741	3.240798771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	916.74	0.75	-1.23	-0.24	123	120	121.5	41	61.33	41	0.07	222	2.346352974	207	1783	3.251151343	2005	3.302114377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	112.89	2.052655473	466.3	1313.8	1105.45	466.3	1128.9	100	460	182.349	60.585	180	1.943469194	4.275607345	-1.04085282	1.735884881	3.200550202	0.160256902	-0.795183257	-0.270637486	2.322219295	23059.54972	87.79488088	5793.857729	0.091022169	54.43583397	1586.902344	0.536244084	NA
1782	Hydromys_hussoni	4000	NA	Placental	RODENTIA	ROD	Rodentia	MURIDAE	MUR	Muridae	Hydromys	hussoni	Western_Water_Rat	NA	DD	NA	unknown	I	NA	NA	NA	NA	NA	T	1	NA	3	NA	NA	NA	NA	NA	151.75	2.1811287	303534	5.482207345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0.477121255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	717.32	-3.56	-4.09	-3.82	143.2	136.27	139.74	2	4.66	2	0.06	204.33	2.310332135	221.33	1738.65	3.240212165	1849.28	3.267002673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.237173522	4.783654067	-0.457914613	-0.282469049	1.515988614	NA	NA	-0.411061222	2.322219295	4254.192067	0.471421449	2709.388065	0.320247672	0.721199526	40.13862731	0.496762435	NA
